Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;01;04;00;00;14.20;17.00;1014.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.40;120.96;15.14;115.35;10.81;178.09;14.04
2018;01;04;01;00;13.10;18.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.50;126.38;16.68;122.66;12.02;188.62;15.48
2018;01;04;02;00;12.04;20.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.44;129.81;18.67;129.52;12.10;202.75;16.56
2018;01;04;03;00;11.03;21.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.91;133.36;20.36;135.00;12.18;214.16;17.64
2018;01;04;04;00;10.12;23.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.18;138.18;19.68;140.19;11.71;225.00;17.28
2018;01;04;05;00;9.28;25.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.96;139.40;17.73;150.83;11.02;231.63;15.84
2018;01;04;06;00;8.55;28.00;1015.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.51;141.95;17.56;164.54;10.09;235.18;15.12
2018;01;04;07;00;7.62;31.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;58.26;0.00;10.80;143.13;19.52;174.71;8.50;233.62;16.56
2018;01;04;08;00;9.30;28.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;79.21;11.98;147.26;22.68;180.91;7.64;225.00;15.48
2018;01;04;09;00;13.48;21.00;1016.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;271.45;7.29;147.09;22.69;181.82;7.29;212.91;11.88
2018;01;04;10;00;20.43;17.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;442.33;12.26;176.63;13.70;176.99;7.97;198.43;12.96
2018;01;04;11;00;24.00;15.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;569.60;13.76;186.01;14.51;187.13;9.18;191.31;11.16
2018;01;04;12;00;25.36;12.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;643.47;11.21;185.53;11.25;187.35;11.66;188.88;17.28
2018;01;04;13;00;26.05;11.00;1013.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;655.93;9.26;193.50;9.26;193.50;10.39;194.04;15.84
2018;01;04;14;00;26.34;10.00;1012.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;607.87;7.59;211.43;7.59;211.43;8.71;209.74;23.40
2018;01;04;15;00;26.29;10.00;1011.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;506.41;6.41;231.84;6.41;231.84;7.39;226.97;26.64
2018;01;04;16;00;25.83;10.00;1011.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;352.44;5.59;255.07;5.69;251.57;6.61;240.64;17.64
2018;01;04;17;00;22.93;7.00;1011.70;0.00;0.00;0.00;0.00;0.00;0.00;21.40;166.43;9.01;272.29;12.96;271.59;12.65;265.10;20.52
2018;01;04;18;00;21.20;8.00;1012.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.68;9.89;280.49;14.26;280.18;13.32;270.00;14.76
2018;01;04;19;00;19.96;9.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.83;281.77;14.35;287.53;12.98;273.18;14.76
2018;01;04;20;00;19.00;9.00;1013.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.42;284.04;13.20;295.87;12.32;276.71;15.12
2018;01;04;21;00;18.46;10.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.59;284.93;11.75;310.03;11.01;281.31;13.68
2018;01;04;22;00;17.66;10.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.45;284.04;11.02;321.63;10.39;284.04;12.96
2018;01;04;23;00;16.79;11.00;1013.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.76;286.70;10.79;334.29;10.37;290.32;12.96
2018;01;05;00;00;15.98;11.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.22;296.57;10.66;348.31;10.50;300.96;12.96
2018;01;05;01;00;15.25;12.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.81;309.81;10.44;360.00;10.74;309.56;13.32
