Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;01;04;00;00;14.85;35.00;1015.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.16;276.71;9.73;308.99;19.86;315.00;10.44
2018;01;04;01;00;14.07;36.00;1015.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.21;280.01;9.73;308.99;19.86;315.00;10.08
2018;01;04;02;00;13.17;37.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.99;281.89;10.46;310.82;20.11;314.27;10.44
2018;01;04;03;00;12.15;39.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.52;286.70;11.25;309.81;20.37;313.57;10.80
2018;01;04;04;00;11.07;42.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.63;289.29;11.75;310.03;21.14;312.93;11.16
2018;01;04;05;00;10.04;45.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.21;285.26;12.10;306.53;21.92;312.34;11.16
2018;01;04;06;00;9.18;47.00;1016.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.40;279.87;11.98;302.74;23.18;313.11;10.80
2018;01;04;07;00;8.57;50.00;1016.30;0.00;0.00;0.00;0.00;0.00;0.00;12.53;1.78;8.31;274.97;11.59;295.77;23.42;313.75;10.44
2018;01;04;08;00;9.62;48.00;1016.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;124.60;6.48;270.00;10.25;288.43;22.16;313.03;9.36
2018;01;04;09;00;12.52;45.00;1017.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;313.28;3.76;253.30;8.71;277.13;20.90;312.21;7.92
2018;01;04;10;00;16.34;34.00;1016.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;474.37;6.57;260.54;6.21;259.99;18.90;310.36;8.64
2018;01;04;11;00;19.21;30.00;1016.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;587.40;6.38;253.61;6.73;254.48;17.15;309.04;8.28
2018;01;04;12;00;21.19;23.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;645.25;7.70;259.22;7.70;259.22;15.41;307.41;10.44
2018;01;04;13;00;22.33;18.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;643.47;7.92;270.00;7.92;270.00;11.17;290.77;10.44
2018;01;04;14;00;22.86;17.00;1013.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;579.39;7.93;272.60;7.92;270.00;9.83;278.43;10.44
2018;01;04;15;00;22.99;16.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;463.69;7.92;270.00;8.28;270.00;10.46;273.95;13.32
2018;01;04;16;00;22.73;16.00;1012.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;299.93;6.85;273.01;7.93;272.60;10.54;277.85;14.04
2018;01;04;17;00;21.08;23.00;1013.20;0.00;0.00;0.00;0.00;0.00;0.00;4.33;106.80;1.08;270.00;1.44;270.00;6.13;273.37;5.40
2018;01;04;18;00;20.59;22.00;1013.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.84;78.69;1.14;71.57;5.80;277.13;2.52
2018;01;04;19;00;19.92;23.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.42;71.57;3.55;66.04;6.15;290.56;4.68
2018;01;04;20;00;19.16;25.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.80;77.01;5.82;68.20;5.99;302.74;6.84
2018;01;04;21;00;18.26;27.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.86;79.38;7.52;73.30;5.19;326.31;7.56
2018;01;04;22;00;17.30;28.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.49;86.82;8.76;80.54;4.33;355.24;9.00
2018;01;04;23;00;16.21;31.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.12;90.00;9.03;85.43;3.67;11.31;9.00
2018;01;05;00;00;15.31;32.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.40;90.00;8.65;87.61;3.08;20.56;8.64
2018;01;05;01;00;14.49;34.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.41;86.19;8.28;90.00;2.31;38.66;9.72
2018;01;05;02;00;13.69;36.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.15;77.91;8.28;90.00;1.61;26.57;9.36
2018;01;05;03;00;12.89;37.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.90;72.90;7.20;90.00;1.48;345.96;8.28
2018;01;05;04;00;12.15;39.00;1014.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.39;55.01;5.40;90.00;3.10;324.46;6.48
2018;01;05;05;00;11.50;41.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.07;45.00;3.60;90.00;5.35;317.73;4.68
2018;01;05;06;00;10.97;42.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.60;36.87;1.80;90.00;7.39;316.97;2.88
2018;01;05;07;00;10.56;44.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;12.37;1.78;3.22;26.57;0.51;135.00;8.94;319.90;2.52
2018;01;05;08;00;11.14;44.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;121.04;2.16;360.00;2.41;243.43;10.23;320.71;3.96
2018;01;05;09;00;13.67;43.00;1016.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;307.94;1.48;284.04;5.35;250.35;11.71;315.00;6.12
2018;01;05;10;00;17.42;34.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;467.25;4.45;255.96;4.45;255.96;12.48;313.83;5.40
2018;01;05;11;00;20.04;29.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;581.17;6.21;259.99;6.21;259.99;14.00;316.04;7.56
2018;01;05;12;00;21.69;24.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;639.91;6.88;276.01;6.88;276.01;14.26;317.05;10.44
2018;01;05;13;00;22.66;21.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;638.13;7.90;294.23;7.75;291.80;11.09;305.75;9.36
2018;01;05;14;00;23.19;19.00;1012.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;575.83;9.39;302.47;9.51;299.48;12.39;305.54;11.52
2018;01;05;15;00;23.30;18.00;1011.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;461.02;10.59;305.31;10.88;304.22;13.32;308.42;12.60
2018;01;05;16;00;22.99;19.00;1011.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;299.04;9.50;307.30;11.30;307.23;14.06;309.81;12.24
2018;01;05;17;00;20.49;30.00;1013.20;0.00;0.00;0.00;0.00;0.00;0.00;5.06;107.69;2.31;321.34;2.81;320.19;7.10;300.47;6.48
2018;01;05;18;00;20.00;29.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.52;360.00;2.97;345.96;9.02;298.61;3.24
2018;01;05;19;00;19.42;30.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.26;6.34;3.96;360.00;10.50;300.96;4.32
2018;01;05;20;00;18.71;32.00;1014.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.02;10.30;5.77;3.58;11.81;307.57;6.12
2018;01;05;21;00;17.81;33.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.15;12.09;7.99;7.77;12.98;313.88;7.92
2018;01;05;22;00;16.70;35.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.80;7.13;9.78;6.34;14.29;319.09;9.72
2018;01;05;23;00;15.52;37.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.76;360.00;10.50;5.91;15.86;320.53;10.44
2018;01;06;00;00;14.45;38.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.15;347.91;10.08;360.00;17.61;319.14;9.72
2018;01;06;01;00;13.58;39.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.90;323.97;9.26;346.50;19.41;319.51;9.36
2018;01;06;02;00;12.91;40.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.19;305.54;9.89;326.89;21.25;321.19;10.08
2018;01;06;03;00;11.97;41.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.57;295.35;11.97;316.22;22.10;322.94;11.88
2018;01;06;04;00;10.79;45.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.43;289.98;13.78;310.76;22.61;322.77;14.04
2018;01;06;05;00;9.77;48.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.91;284.04;15.19;306.33;22.96;318.81;15.84
2018;01;06;06;00;9.01;51.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.11;279.09;16.58;304.38;24.44;316.19;17.64
2018;01;06;07;00;8.46;54.00;1015.20;0.00;0.00;0.00;0.00;0.00;0.00;12.23;1.78;9.42;276.58;17.37;304.02;26.22;315.56;19.08
2018;01;06;08;00;9.53;53.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;122.82;8.29;272.49;16.99;306.38;26.74;313.36;19.44
2018;01;06;09;00;12.74;46.00;1016.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;312.39;6.13;273.37;14.98;305.22;27.51;312.88;16.56
2018;01;06;10;00;16.34;33.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;474.37;9.36;292.62;9.90;289.09;28.28;312.42;16.56
2018;01;06;11;00;19.25;26.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;589.18;12.78;302.35;13.40;300.70;30.08;312.09;16.92
2018;01;06;12;00;20.93;21.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;647.92;16.68;302.66;17.60;300.76;24.80;309.70;20.16
2018;01;06;13;00;21.79;19.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;646.14;17.97;302.74;19.39;301.33;22.86;303.44;22.68
2018;01;06;14;00;22.17;18.00;1013.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;582.95;18.09;301.16;20.01;300.26;23.47;302.47;22.68
2018;01;06;15;00;22.13;17.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;468.14;18.09;301.16;20.01;300.26;23.40;300.51;21.96
2018;01;06;16;00;21.71;18.00;1012.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;305.27;15.81;300.07;19.20;300.41;23.58;301.26;20.88
2018;01;06;17;00;20.19;24.00;1012.50;0.00;0.00;0.00;0.00;0.00;0.00;5.80;111.25;9.18;295.56;14.33;295.28;18.84;296.08;16.56
2018;01;06;18;00;19.57;25.00;1013.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.53;297.65;14.51;299.74;19.65;298.44;14.76
2018;01;06;19;00;18.72;26.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.79;303.69;15.41;307.41;20.87;302.32;15.12
2018;01;06;20;00;17.61;28.00;1014.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.42;309.09;16.30;316.79;22.10;307.06;16.92
2018;01;06;21;00;16.49;30.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.39;313.03;16.99;323.62;23.44;312.51;17.64
2018;01;06;22;00;15.43;32.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.65;311.19;17.48;327.62;24.44;315.00;18.36
2018;01;06;23;00;14.43;34.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.21;307.87;18.89;329.04;25.23;317.89;19.80
2018;01;07;00;00;13.35;36.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.59;303.02;20.50;329.38;26.25;317.78;19.08
2018;01;07;01;00;12.12;39.00;1015.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.02;298.61;21.98;328.39;27.75;315.53;20.52
2018;01;07;02;00;10.86;43.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.34;297.55;23.09;329.04;29.53;315.99;21.60
2018;01;07;03;00;9.85;46.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.69;291.80;23.40;329.49;31.31;315.47;23.04
2018;01;07;04;00;9.06;48.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.90;289.09;23.47;327.53;33.09;315.00;23.76
2018;01;07;05;00;8.39;50.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.04;284.53;23.48;324.36;35.65;313.36;24.48
2018;01;07;06;00;7.74;51.00;1015.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.18;278.13;23.28;320.65;37.44;313.05;25.20
2018;01;07;07;00;7.14;53.00;1016.20;0.00;0.00;0.00;0.00;0.00;0.00;12.12;1.78;10.11;274.09;22.92;316.27;38.20;313.47;25.56
2018;01;07;08;00;8.37;50.00;1016.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;123.71;9.01;272.29;21.13;314.31;37.94;313.85;24.48
2018;01;07;09;00;11.87;42.00;1017.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;315.06;7.70;280.78;17.79;305.94;37.94;313.85;24.48
2018;01;07;10;00;15.67;32.00;1016.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;477.93;11.97;291.16;13.10;290.92;38.19;314.24;23.40
2018;01;07;11;00;18.85;25.00;1016.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;593.63;17.24;298.71;18.68;297.55;38.44;314.62;23.04
2018;01;07;12;00;20.55;20.00;1015.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;653.26;20.87;302.32;22.78;301.43;31.99;309.06;24.48
2018;01;07;13;00;21.50;18.00;1014.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;651.48;21.12;299.62;23.04;298.97;27.78;301.22;23.76
