LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;80 m above gnd;900 mb;sfc;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;80 m above gnd;900 mb;sfc;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;80 m above gnd;900 mb;sfc
NAME;;;;;Temperature 2018;Relative Humidity 2018;Mean Sea Level Pressure 2018;Total Precipitation 2018;Snowfall amount raw 2018;Total Cloud Cover 2018;High Cloud Cover 2018;Medium Cloud Cover 2018;Low Cloud Cover 2018;Sunshine Duration 2018;Shortwave Radiation 2018;Wind Speed 2018;Wind Speed 2018;Wind Speed 2018;Wind Gust 2018;Temperature 2017;Relative Humidity 2017;Mean Sea Level Pressure 2017;Total Precipitation 2017;Snowfall amount raw 2017;Total Cloud Cover 2017;High Cloud Cover 2017;Medium Cloud Cover 2017;Low Cloud Cover 2017;Sunshine Duration 2017;Shortwave Radiation 2017;Wind Speed 2017;Wind Speed 2017;Wind Speed 2017;Wind Gust 2017;Temperature 2016;Relative Humidity 2016;Mean Sea Level Pressure 2016;Total Precipitation 2016;Snowfall amount raw 2016;Total Cloud Cover 2016;High Cloud Cover 2016;Medium Cloud Cover 2016;Low Cloud Cover 2016;Sunshine Duration 2016;Shortwave Radiation 2016;Wind Speed 2016;Wind Speed 2016;Wind Speed 2016;Wind Gust 2016
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;km/h;km/h;km/h;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;km/h;km/h;km/h;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;km/h;km/h;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1

